
14383	Umar	4619876382524330
16199	Danish	4615603843741897
19226	Abdullah	remove("debitcreditcc.txt");
14383	Umar	4619876382524330
16199	Danish	4615603843741897
19226	Abdullah	remove("debitcreditcc.txt");
14383	Umar	4619876382524330
16199	Danish	4615603843741897
19226	Abdullah	4615603843741897
14383	Umar	4619876382524330
16199	Danish	4615603843741897
19226	Abdullah	4615603843741897
14383	Umar	4619876382524330
16199	Danish	4615603843741897
19226	Abdullah	6666666666666666
14383	Umar	4619876382524330
16199	Danish	4615603843741897
19226	Abdullah	4556244755917477
14383	Umar	4619876382524330
16199	Danish	4615603843741897
19226	Abdullah	4556244755917477
